ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
69,13.390253680275725,0.00016998529020567752,1.203676938676955e-10,-0.024504775126958707,13.390253131931628,0.00016998529086622357,-0.024504765641617025,1.3606772456681783e-17,5.433980957362953e-09,-8.792766643461197e-12
70,13.084981484588555,0.00017237228737566643,1.1156546733625072e-10,-0.024664301969075753,13.08498089675334,0.00017237229050268767,-0.02466429282705205,1.2458558722764521e-17,5.092595138502204e-09,-8.421571679513513e-12
71,12.791183628011753,0.00017470042449333655,1.0301687730876839e-10,-0.02481505039681596,12.791182998184942,0.00017470042942895587,-0.02481504160538373,1.1419939707608509e-17,4.776407715836385e-09,-8.069055785607591e-12
72,12.508285346063845,0.0001769726879772822,9.47658970942664e-11,-0.024957999862123253,12.508284672404416,0.00017697269405640432,-0.024957991427635627,1.0479256189416835e-17,4.483266044978457e-09,-7.737167871064052e-12
73,12.235699724714605,0.0001791917971268095,8.685346230896019e-11,-0.025093929966102876,12.235699006020216,0.0001791918036832791,-0.025093921894025584,9.626212640472996e-18,4.211208556407091e-09,-7.426775253211834e-12
74,11.972761151946655,0.00018135357424522565,7.93172819052186e-11,-0.02522234302174653,11.97276038762966,0.0001813535806179356,-0.02522233531669554,8.851674655483307e-18,3.958456189543651e-09,-7.138492632487143e-12
75,11.718844180897198,0.00018345357445524485,7.219167451563926e-11,-0.02534244003120278,11.718843370957737,0.00018345357999414666,-0.02534243269698628,8.147519875441287e-18,3.723393366780928e-09,-6.872719084689648e-12
76,11.473364303197856,0.00018548667724236048,6.55074292032324e-11,-0.025453607427312078,11.473363448194212,0.0001854866813143276,-0.025453600466976402,7.506560189951038e-18,3.504567378703747e-09,-6.628693955200065e-12
77,11.235871124723559,0.00018745595329790822,5.92916927831818e-11,-0.02555509075437681,11.235870225740092,0.0001874559552924076,-0.025555084170255975,6.92248969797628e-18,3.300707777827351e-09,-6.401879543256735e-12
78,11.006098446992004,0.00018936385820808493,5.356788249074764e-11,-0.025647425416296193,11.006097505604881,0.00018936385754261104,-0.025647419210064578,6.389696284621938e-18,3.110664143162465e-09,-6.187401440278829e-12
79,10.783850607369624,0.000191213461691595,4.835562541111832e-11,-0.025731407067230292,10.783849625610646,0.0001912134578168254,-0.02573140123995806,5.903165678221555e-18,2.9333864836626594e-09,-5.981034949116212e-12
80,10.568915362498727,0.00019300764392828174,4.367072367354289e-11,-0.025807913774816768,10.568914342817516,0.00019300763633291453,-0.025807908327027625,5.45840611742177e-18,2.7679110974578934e-09,-5.779119202056598e-12
81,10.361067597222652,0.0001947478657232323,3.9525145571823224e-11,-0.025877433303454937,10.36106654244751,0.0001947478539384688,-0.025877428235185723,5.051403369723907e-18,2.613352113799231e-09,-5.579171377950663e-12
82,10.159992420147566,0.000196432061384013,3.59270422354583e-11,-0.025939857256283307,10.159991333445232,0.0001964320449876527,-0.025939852567145007,4.6786057291247126e-18,2.4688803407278053e-09,-5.3816482090277215e-12
83,9.965340220940949,0.0001980559310893892,3.288078891451003e-11,-0.02599512971266153,9.965339105775636,0.00019805590970950704,-0.02599512540190126,4.3368291148142886e-18,2.333732005866029e-09,-5.18756599540028e-12
84,9.776802522077963,0.00019961632755479184,3.038705052577017e-11,-0.02604295046306096,9.776801382169864,0.0001996163008729714,-0.02604294652962442,4.023204586174527e-18,2.2072054890006527e-09,-4.9977910536103114e-12
85,9.594082612842312,0.00020110985679834821,2.844287037613362e-11,-0.026083378209752005,9.594081452125915,0.0002011098245524486,-0.02608337465234602,3.735151278707467e-18,2.08865904612647e-09,-4.8130646478934165e-12
86,9.416912170908702,0.00020253605550438756,2.7041780721966833e-11,-0.026116188012084804,9.416910993491182,0.00020253601749082548,-0.026116184829239417,3.470336021440698e-18,1.9775032623621295e-09,-4.634009501564499e-12
87,9.245044223510261,0.00020389469143530033,2.6173935135743284e-11,-0.02614145472411488,9.245043033630214,0.00020389464751083316,-0.026141451914244645,3.226657183542433e-18,1.8732091015729084e-09,-4.4611628789668666e-12
88,9.07826187805781,0.000205186868823035,2.5826259152555022e-11,-0.026159278883428436,9.078260680044588,0.00020518681890603377,-0.026159276444892396,3.0022136971131875e-18,1.7752912668670696e-09,-4.294971919171444e-12
89,8.91638288523272,0.00020641369495720983,2.5982620249452108e-11,-0.026169821660685995,8.916381683466616,0.00020641363902841703,-0.026169819591845972,2.7952880839878567e-18,1.6833018965569901e-09,-4.1358018260062414e-12
90,8.759227867366313,0.00020757285783408688,2.6624014137369546e-11,-0.026173354939776062,8.759226666239876,0.0002075727959368563,-0.026173353239052895,2.6043255350795736e-18,1.5968279658623264e-09,-3.983946998621145e-12
91,8.606628070737104,0.0002086650803599033,2.7728766033475672e-11,-0.026169963817577045,8.60662687461774,0.00020866501259992465,-0.02616996248350427,2.4279293027053987e-18,1.5154892141224772e-09,-3.839516235726781e-12
92,8.458403396801026,0.00020968929654072616,2.927274539497119e-11,-0.026159929320420487,8.458402209995183,0.0002096892230852405,-0.02615992835169524,2.2648772321249097e-18,1.4389402904927859e-09,-3.702108130462895e-12
93,8.314390127862458,0.00021064457770278663,3.122959231110759e-11,-0.026143298437369886,8.314388954581517,0.00021064449877930273,-0.026143297832900595,2.1140671401770192e-18,1.366863564866884e-09,-3.5712344299964145e-12
