a,z,n_a,E_tip,rho_de_eff_over_rhoc0,w_eff_ppf
0.00021511234301821672,4647.733708020257,3.028007456704983e-38,493167.08012807375,191808762031.01282,0.27860928119510686
0.00022013311074930324,4541.705986374043,3.9575780206355934e-38,471828.78766966786,175569533207.2323,0.27754580398091844
0.00022527106426459804,4438.096531392171,5.172518236286422e-38,451430.5004452762,160717097787.6184,0.27646587853306914
0.00023052893870517083,4336.850187558989,6.760433973811841e-38,431930.3459416048,147132196630.75262,0.2753694143919272
0.00023590953305086337,4237.913057338783,8.835825303359653e-38,413288.3282372205,134705883751.87408,0.27425632724289994
0.00024141571161030178,4141.232472483898,1.1548342768218955e-37,395466.2436426526,123338630544.61983,0.27312653917700414
0.00024705040554568255,4046.756965997322,1.5093578258226302e-37,378427.60013861046,112939508075.95935,0.27197997895154913
0.00025281661443315003,3954.436244734702,1.9727168582504434e-37,362137.54044115974,103425440631.51927,0.2708165822519959
0.0002587174078595924,3864.2211626312614,2.578322870989521e-37,346562.768530441,94720524285.98566,0.26963629195317185
0.00026475592705670666,3776.0636945393685,3.3698443845424925e-37,331671.47948687343,86755404818.33167,0.26843905838025717
0.0002709353865732052,3689.9169106627783,4.404355755365316e-37,317433.2924858116,79466709788.88034,0.26722483956897736
0.0002772590759860481,3605.734951574032,5.756452644757045e-37,303819.18680836214,72796530048.8863,0.26599360152340523
0.00028373036165162114,3523.4730038015878,7.523630899017212e-37,290801.44073245244,66691946367.189156,0.2647453184727435
0.00029035268849778137,3443.0872759738236,9.833316696560036e-37,278353.57317440206,61104597236.11248,0.26347997312423854
0.0002971295818577334,3364.5349755070943,1.2852054885823433e-36,266450.28795706463,55990284263.26764,0.26219755691416435
0.0003040646493467069,3287.7742858255097,1.679751805878488e-36,255067.42058621885,51308611870.2451,0.26089807025319556
0.0003111615827824363,3212.7643441002756,2.195420230008811e-36,244181.88742220603,47022658305.93436,0.2595815227684095
0.0003184241601504653,3139.465219496752,2.8693941387437055e-36,233771.63713891106,43098675243.856224,0.2582479335402088
0.0003258562476153223,3067.8378919176453,3.7502718663677904e-36,223815.60436704417,39505813471.60769,0.25689733133257664
0.00033346180157863627,2997.844231231031,4.9015709908112185e-36,214293.66542332966,36215872398.32893,0.2555297548174167
0.0003412448707852889,2929.4469769721445,6.40630840484404e-36,205186.59603163824,33203071304.83137,0.25414525279112854
0.00034920959847872714,2862.6097185081157,8.37298642719097e-36,196476.03094633407,30443840442.353718,0.25274388438428264
0.0003573602246065788,2797.296875655116,1.0943416594947846e-35,188144.42539215833,27916630251.36768,0.2513257192617857
0.0003657010880777493,2733.47367973758,1.4302945288633123e-35,180175.01823882517,25601737122.819664,0.24989083781387467
0.00037423662907219805,2671.1061550794357,1.8693818530501139e-35,172551.79683219938,23481144261.950993,0.24843933133756013
0.00038297139140462807,2610.16110091746,2.4432649653567174e-35,165259.46340744052,21538376340.53524,0.24697130220704366
0.0003919100249433402,2550.6060737271864,3.19332493850814e-35,158283.40301287136,19758366738.07456,0.24548686403303077
0.0004010572880855496,2492.4093699518803,4.173646455659521e-35,151609.65287652338,18127336277.157097,0.24398614180934897
0.0004104180502904709,2435.540009125466,5.454917702480116e-35,145224.87315039805,16632682453.69356,0.24246927204757185
0.00041999729467153064,2379.9677173803584,7.129527490398999e-35,139116.31897039188,15262878249.90305,0.24093640289752716
0.00042980012064907985,2325.662911331458,9.318227150016353e-35,133271.81377264383,14007379697.458868,0.2393876942544655
0.00043983174666502236,2272.5966823277176,1.2178837564793737e-34,127679.72380972566,12856541430.785868,0.2378233178503517
0.00045009751296080464,2220.7407810628847,1.5917629184363933e-34,122328.9338126469,11801539536.740545,0.2362434573308292
0.00046060288442023985,2170.067602537267,2.0804195597726843e-34,117208.82374708593,10834301067.356615,0.2346483083157409
0.0004713534534786907,2120.550171362452,2.719089315723217e-34,112309.24661457317,9947439637.505278,0.23303807844293556
0.00048235494310014675,2072.162127401231,3.553824838912786e-34,107620.50725158564,9134196579.671926,0.23141298739526905
0.0004936132098237916,2024.8777117350173,4.644816524651103e-34,103133.34208162045,8388387174.000758,0.22977326690986888
0.0005051342468816766,1978.6717529513326,6.07073266848802e-34,98838.89977734725,7704351513.700293,0.22811916076894545
0.0005169241873891598,1933.5196537440463,7.934392012398258e-34,94728.72279187002,7076909604.180676,0.22645092477263984
0.0005289893076098151,1889.3973778192214,1.037017771070615e-33,90794.72971997272,6501320329.231087,0.22476882669224096
0.0005413360302965375,1846.2814370996362,1.3553727315663586e-33,87029.19845199259,5973243949.435445,0.2230731462046076
0.0005539709281106401,1804.1488792211098,1.7714597499878208e-33,83424.75008463854,5488707827.130165,0.22136417480642945
0.0005669007271207433,1762.9772753140453,2.315281673256284e-33,79974.33355469118,5044075098.777698,0.21964221570895393
0.0005801323103833379,1722.7447080636198,3.0260519475835052e-33,76671.21096304504,4636016039.879608,0.21790758371245533
0.0005936727216069126,1683.4297600423151,3.955022188119008e-33,73508.943558028,4261481889.6915255,0.2161606050599023
0.0006075291689016078,1645.0115023085498,5.169177786589219e-33,70481.37834832753,3917680923.209628,0.21440161727088025
0.0006217090286163827,1607.4694832653568,6.7560680366436e-33,67582.63531719291,3602056576.3458886,0.21263096895478384
0.0006362198492657489,1570.7837177731626,8.83011906345662e-33,64807.09521085638,3312267447.049364,0.21084901960305547
0.0006510693555481455,1534.9346765108985,1.1540884764913461e-32,62149.38787533951,3046169010.5049076,0.2090561393618675
0.000666265452458115,1499.9032755797364,1.5083830716193523e-32,59604.381116968325,2801796900.575309,0.20725270878350943
0.0006818162294944479,1465.6708663439686,1.9714428634318837e-32,57167.17006303999,2577351622.467216,0.20543911855848296
0.0006977299649665538,1432.2192255035739,2.5766577714267116e-32,54833.067000138166,2371184573.299176,0.20361576922713698
